xk,xpl,xmw,xTe,,,yts
0.5,0.9,0.8901,326.3,,,5
0.5,0.9,0.8388,333.6,,,5.5
0.5,0.9,0.7864,341.1,,,6
0.5,0.95,1.405,256.7,,,0
0.5,0.95,1.35,264.2,,,0.5
0.5,0.95,1.296,271.5,,,1
0.5,0.95,1.242,278.8,,,1.5
0.5,0.95,1.19,285.9,,,2
0.5,0.95,1.138,292.9,,,2.5
0.5,0.95,1.087,299.9,,,3
0.5,0.95,1.036,306.8,,,3.5
0.5,0.95,0.9852,313.7,,,4
0.5,0.95,0.9345,320.6,,,4.5
0.5,0.95,0.8837,327.5,,,5
0.5,0.95,0.8322,334.4,,,5.5
0.5,0.95,0.7797,341.6,,,6
0.5,1,1.405,260.7,,,0
0.5,1,1.348,267.9,,,0.5
0.5,1,1.293,275,,,1
0.5,1,1.239,281.9,,,1.5
0.5,1,1.186,288.8,,,2
0.5,1,1.133,295.5,,,2.5
0.5,1,1.081,302.2,,,3
0.5,1,1.03,308.8,,,3.5
0.5,1,0.9788,315.3,,,4
0.5,1,0.9279,321.9,,,4.5
0.5,1,0.8768,328.4,,,5
0.5,1,0.8252,335,,,5.5
0.5,1,0.7727,341.8,,,6
0.6,0.6,1.4,229.7,,,0
0.6,0.6,1.361,237.1,,,0.5
0.6,0.6,1.321,244.6,,,1
0.6,0.6,1.281,252.2,,,1.5
0.6,0.6,1.24,259.8,,,2
0.6,0.6,1.199,267.5,,,2.5
0.6,0.6,1.157,275.3,,,3
0.6,0.6,1.115,283.2,,,3.5
0.6,0.6,1.072,291.3,,,4
0.6,0.6,1.028,299.5,,,4.5
0.6,0.6,0.9825,308,,,5
0.6,0.6,0.9356,316.8,,,5.5
0.6,0.6,0.8865,326,,,6
0.6,0.65,1.399,232.7,,,0
0.6,0.65,1.359,240,,,0.5
0.6,0.65,1.318,247.3,,,1
0.6,0.65,1.277,254.7,,,1.5
0.6,0.65,1.236,262.2,,,2
0.6,0.65,1.194,269.7,,,2.5
0.6,0.65,1.152,277.3,,,3
0.6,0.65,1.11,285,,,3.5
0.6,0.65,1.066,292.9,,,4
0.6,0.65,1.022,300.9,,,4.5
0.6,0.65,0.9762,309.2,,,5
0.6,0.65,0.929,317.7,,,5.5
0.6,0.65,0.8798,326.6,,,6
0.6,0.7,1.399,236.2,,,0
0.6,0.7,1.358,243.4,,,0.5
0.6,0.7,1.316,250.5,,,1
0.6,0.7,1.275,257.8,,,1.5
0.6,0.7,1.233,265,,,2
0.6,0.7,1.191,272.4,,,2.5
0.6,0.7,1.148,279.8,,,3
0.6,0.7,1.105,287.3,,,3.5
0.6,0.7,1.061,294.9,,,4
0.6,0.7,1.016,302.7,,,4.5
0.6,0.7,0.9704,310.7,,,5
0.6,0.7,0.923,318.9,,,5.5
0.6,0.7,0.8735,327.5,,,6
0.6,0.75,1.4,240.1,,,0
0.6,0.75,1.358,247.1,,,0.5
0.6,0.75,1.316,254.1,,,1
0.6,0.75,1.273,261.1,,,1.5
0.6,0.75,1.231,268.2,,,2
0.6,0.75,1.188,275.4,,,2.5
0.6,0.75,1.145,282.6,,,3
0.6,0.75,1.101,289.8,,,3.5
0.6,0.75,1.057,297.2,,,4
0.6,0.75,1.011,304.7,,,4.5
0.6,0.75,0.965,312.4,,,5
0.6,0.75,0.9172,320.4,,,5.5
0.6,0.75,0.8675,328.7,,,6
0.6,0.8,1.402,244.1,,,0
0.6,0.8,1.358,251,,,0.5
0.6,0.8,1.315,257.8,,,1
0.6,0.8,1.272,264.7,,,1.5
0.6,0.8,1.229,271.6,,,2
0.6,0.8,1.185,278.5,,,2.5
