xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.65,1.048,296.3,,,1,2.5
0.4,0.65,0.9988,305.1,,,1,3
0.4,0.65,0.9506,313.8,,,1,3.5
0.4,0.65,0.9027,322.5,,,1,4
0.4,0.65,0.855,331.1,,,1,4.5
0.4,0.65,0.8071,339.8,,,1,5
0.4,0.65,0.7588,348.5,,,1,5.5
0.4,0.65,0.7097,357.4,,,1,6
0.4,0.65,1.261,257.7,,,1.5,0
0.4,0.65,1.211,266.7,,,1.5,0.5
0.4,0.65,1.162,275.5,,,1.5,1
0.4,0.65,1.114,284.2,,,1.5,1.5
0.4,0.65,1.067,292.8,,,1.5,2
0.4,0.65,1.02,301.3,,,1.5,2.5
0.4,0.65,0.9736,309.7,,,1.5,3
0.4,0.65,0.9277,318,,,1.5,3.5
0.4,0.65,0.882,326.2,,,1.5,4
0.4,0.65,0.8363,334.5,,,1.5,4.5
0.4,0.65,0.7904,342.8,,,1.5,5
0.4,0.65,0.744,351.2,,,1.5,5.5
0.4,0.65,0.6967,359.7,,,1.5,6
0.4,0.65,1.223,264.5,,,2,0
0.4,0.65,1.176,273,,,2,0.5
0.4,0.65,1.13,281.4,,,2,1
0.4,0.65,1.084,289.6,,,2,1.5
0.4,0.65,1.039,297.8,,,2,2
0.4,0.65,0.9948,305.8,,,2,2.5
0.4,0.65,0.9506,313.8,,,2,3
0.4,0.65,0.9067,321.8,,,2,3.5
0.4,0.65,0.8629,329.7,,,2,4
0.4,0.65,0.8191,337.6,,,2,4.5
0.4,0.65,0.775,345.6,,,2,5
0.4,0.65,0.7303,353.7,,,2,5.5
0.4,0.65,0.6847,361.9,,,2,6
0.4,0.65,1.189,270.6,,,2.5,0
0.4,0.65,1.145,278.7,,,2.5,0.5
0.4,0.65,1.101,286.7,,,2.5,1
0.4,0.65,1.057,294.5,,,2.5,1.5
0.4,0.65,1.014,302.3,,,2.5,2
0.4,0.65,0.9718,310,,,2.5,2.5
0.4,0.65,0.9295,317.6,,,2.5,3
0.4,0.65,0.8874,325.2,,,2.5,3.5
0.4,0.65,0.8454,332.8,,,2.5,4
0.4,0.65,0.8033,340.5,,,2.5,4.5
0.4,0.65,0.7608,348.2,,,2.5,5
0.4,0.65,0.7177,356,,,2.5,5.5
0.4,0.65,0.6735,363.9,,,2.5,6
0.4,0.65,1.158,276.2,,,3,0
0.4,0.65,1.116,283.9,,,3,0.5
0.4,0.65,1.074,291.5,,,3,1
0.4,0.65,1.032,299,,,3,1.5
0.4,0.65,0.9914,306.4,,,3,2
0.4,0.65,0.9506,313.8,,,3,2.5
0.4,0.65,0.9101,321.1,,,3,3
0.4,0.65,0.8697,328.5,,,3,3.5
0.4,0.65,0.8292,335.8,,,3,4
0.4,0.65,0.7886,343.1,,,3,4.5
0.4,0.65,0.7476,350.5,,,3,5
0.4,0.65,0.7059,358.1,,,3,5.5
0.4,0.65,0.6631,365.8,,,3,6
0.4,0.65,1.13,281.4,,,3.5,0
0.4,0.65,1.089,288.7,,,3.5,0.5
0.4,0.65,1.049,296,,,3.5,1
0.4,0.65,1.01,303.1,,,3.5,1.5
0.4,0.65,0.9702,310.3,,,3.5,2
0.4,0.65,0.9311,317.4,,,3.5,2.5
