,y,yhat
2014,575.98035,561.79987
2015,583.30316,553.9824
2016,602.5256,551.1792
2017,573.23425,557.31555
2018,551.26575,544.9313
2019,574.1496,534.594
2020,544.8582,545.2479
2021,550.3504,531.68335
2022,534.78937,552.97815
2023,596.1181,571.2468
2024,654.70074,666.67346
2025,741.6594,729.32294
2026,764.5433,779.1805
2027,776.44293,785.1951
2028,753.559,777.5766
2029,756.3051,769.0428
2030,753.559,769.328
2031,744.4055,764.5865
2032,767.28937,741.72034
2033,713.28345,718.03296
2034,614.4252,652.2429
2035,589.71063,585.20026
2036,530.2126,566.22144
2037,543.0275,544.73535
2038,541.19684,542.3392
2039,519.22833,535.18494
2040,517.39764,524.3226
2041,521.97437,519.37836
2042,503.66733,515.0852
2043,492.68307,507.34952
2044,500.92126,496.5896
2045,490.85236,496.82928
2046,491.7677,511.0325
2047,598.8642,543.6843
2048,661.1083,684.79706
2049,721.52167,740.69476
2050,772.7815,768.11
2051,776.44293,776.60974
2052,770.95074,769.33826
2053,775.5276,769.84204
2054,774.61224,769.531
2055,763.6279,765.6131
2056,733.42126,743.29456
2057,701.38385,690.8134
2058,631.8169,640.044
2059,589.71063,587.9946
2060,582.3878,562.5836
2061,597.03345,555.46204
2062,511.9055,553.6239
2063,558.5886,525.9392
2064,543.0275,529.697
2065,493.59842,522.0247
2066,497.25983,504.35794
2067,487.19095,495.6701
2068,503.66733,487.39926
2069,488.1063,500.4637
2070,510.0748,508.1193
2071,564.08075,558.19495
2072,620.83264,642.4868
2073,730.6752,696.44116
2074,760.8819,763.84766
2075,768.2047,765.9772
2076,728.8445,761.01666
2077,741.6594,741.17206
2078,715.1142,745.1718
2079,777.3583,725.5952
2080,719.6909,729.74414
2081,629.07086,672.7453
2082,595.20276,587.31665
2083,522.8898,556.5851
2084,514.65155,530.911
2085,519.22833,522.4992
2086,521.97437,516.8574
2087,527.4665,514.687
2088,525.6358,514.6285
2089,526.55115,510.40274
2090,536.62006,510.5898
2091,542.1122,510.47202
2092,502.75195,510.57846
2093,537.5354,505.61325
2094,534.78937,513.10803
2095,506.41336,521.6601
2096,511.9055,517.71985
2097,509.15942,517.70026
2098,519.22833,510.75284
2099,519.22833,513.3259
2100,513.7362,513.97504
2101,507.32874,513.15564
2102,546.68896,514.1587
2103,528.3819,527.29956
2104,523.8051,522.1099
2105,554.9272,518.5508
2106,536.62006,525.7581
2107,542.1122,521.8599
2108,518.313,522.2851
2109,505.49802,513.64545
2110,506.41336,508.8921
2111,530.2126,506.94778
2112,524.72046,508.7866
2113,536.62006,507.05798
2114,525.6358,508.81165
2115,501.8366,504.9126
2116,510.0748,498.1414
2117,513.7362,491.8717
2118,502.75195,493.26028
2119,508.24408,490.9496
2120,483.52954,494.86383
2121,489.02164,486.20508
2122,480.78348,491.2359
2123,505.49802,487.6993
2124,515.5669,497.96738
2125,489.02164,505.47134
2126,513.7362,497.2059
2127,533.87396,508.9185
2128,514.65155,520.1357
2129,549.43506,515.47076
2130,546.68896,526.3111
2131,512.82086,524.9837
2132,500.92126,515.4279
2133,523.8051,508.37988
2134,564.08075,511.90955
2135,544.8582,523.49115
2136,553.0965,515.3411
2137,513.7362,515.2392
2138,490.85236,501.38626
2139,479.8681,490.49295
2140,493.59842,481.97565
2141,486.2756,498.47275
2142,512.82086,503.73462
2143,553.0965,546.5587
2144,613.5098,631.16406
2145,692.23035,701.0576
2146,710.5374,748.1381
2147,760.8819,752.37146
2148,698.6378,767.86847
2149,707.7913,736.97577
2150,666.6004,736.94244
2151,701.38385,704.1816
2152,656.5315,697.56604
2153,657.44684,635.96735
2154,639.1398,603.0496
2155,584.2185,580.56885
2156,589.71063,552.178
2157,588.7953,551.30066
2158,561.33466,548.6188
2159,518.313,534.7961
2160,486.2756,516.803
2161,490.85236,498.3887
2162,488.1063,494.01993
2163,483.52954,486.92358
2164,490.85236,482.36722
2165,530.2126,490.66684
2166,513.7362,524.04517
2167,558.5886,543.6916
2168,692.23035,609.1553
2169,707.7913,734.33704
2170,737.08264,740.65375
2171,735.25195,752.89874
2172,711.45276,746.99445
2173,719.6909,728.5647
2174,717.8602,734.4583
2175,712.3681,724.46545
2176,717.8602,704.6462
2177,671.1772,676.2355
2178,614.4252,620.9225
2179,594.2874,582.38525
2180,575.065,563.43256
2181,575.98035,552.9507
2182,550.3504,549.1139
2183,542.1122,534.18787
2184,554.9272,527.48096
2185,523.8051,529.1212
2186,515.5669,516.61316
2187,499.09055,507.64087
2188,501.8366,498.94702
2189,521.059,501.10312
2190,522.8898,529.19543
2191,542.1122,564.35345
2192,619.00195,608.1364
2193,724.2677,683.6106
2194,719.6909,754.7546
2195,738.9134,746.1612
2196,741.6594,749.31903
2197,734.3366,748.51
2198,705.0453,743.04315
2199,715.1142,724.8916
2200,715.1142,707.042
2201,708.7067,673.15265
